Company Code,EmployeeID,Enrollment ID,DependentID,First Name,Middle Initial,Last Name,Relationship Code,Add Name,Add Date,dependent_ssn
202,1001,ENR-1001,D-1001-SP,Karen,,Jones,SP,System_Admin,1/1/2025,245-67-3783
202,1002,ENR-1002,D-1002-SP,Barbara,,Rodriguez,SP,System_Admin,1/1/2025,187-58-2190
202,1002,ENR-1002,D-1002-CH,James,,Rodriguez,CH,System_Admin,1/1/2025,160-78-6176
202,1003,ENR-1003,D-1003-SP,Jessica,,Jones,SP,System_Admin,1/1/2025,151-89-4931
202,1004,ENR-1004,D-1004-CH,David,,Rodriguez,CH,System_Admin,1/1/2025,655-99-8417
202,1005,ENR-1005,D-1005-SP,Susan,,Johnson,SP,System_Admin,1/1/2025,827-17-5811
202,1005,ENR-1005,D-1005-CH,Robert,,Johnson,CH,System_Admin,1/1/2025,176-80-1489
202,1006,ENR-1006,D-1006-SP,Patricia,,Johnson,SP,System_Admin,1/1/2025,527-17-8399
202,1006,ENR-1006,D-1006-CH,Charles,,Johnson,CH,System_Admin,1/1/2025,704-63-6134
202,1007,ENR-1007,D-1007-CH,John,,Garcia,CH,System_Admin,4/1/2025,438-49-2032
202,1009,ENR-1009,D-1009-SP,Jennifer,,Smith,SP,System_Admin,1/1/2025,303-30-3127
202,1013,ENR-1013,D-1013-CH,Charles,,Davis,CH,System_Admin,11/1/2025,504-77-2015
202,1014,ENR-1014,D-1014-SP,Susan,,Rodriguez,SP,System_Admin,11/1/2025,863-56-7569
202,1015,ENR-1015,D-1015-SP,Patricia,,Brown,SP,System_Admin,1/1/2025,341-96-5590
202,1015,ENR-1015,D-1015-CH,David,,Brown,CH,System_Admin,1/1/2025,859-44-9698
202,1016,ENR-1016,D-1016-CH,Joseph,,Garcia,CH,System_Admin,1/1/2025,122-68-9410
202,1017,ENR-1017,D-1017-CH,Joseph,,Johnson,CH,System_Admin,1/1/2025,308-71-7954
202,1018,ENR-1018,D-1018-CH,William,,Johnson,CH,System_Admin,1/1/2025,533-95-5500
202,1019,ENR-1019,D-1019-SP,Barbara,,Johnson,SP,System_Admin,1/1/2025,716-38-3341
