company_code,employee_id,dependent_id,first_name,middle_name,last_name,ssn,date_of_birth,gender,relationship,is_disabled,enrollment_id,add_name,add_date,modified_by,modified_on
202,1002,DEP-1002-C,Mary,,Brown,467-20-7261,2018-01-01,M,Child,N,ENR-1002-1,System_Admin,2025-01-01,,
202,1002,DEP-1002-S,Gary,,Brown,473-94-8373,1980-05-20,F,Spouse,N,ENR-1002-2,System_Admin,2025-01-01,,
202,1004,DEP-1004-S,Eric,,Anderson,477-28-8410,1980-05-20,F,Spouse,N,ENR-1004-1,System_Admin,2025-01-01,,
202,1004,DEP-1004-C,Lisa,,Anderson,470-17-7952,2020-01-01,M,Child,N,ENR-1004-1,System_Admin,2025-01-01,,
202,1004,DEP-1004-S,Sandra,,Anderson,912-34-2500,1980-05-20,F,Spouse,N,ENR-1004-2,System_Admin,2025-01-01,,
202,1004,DEP-1004-C,Ryan,,Anderson,804-40-1884,2011-01-01,M,Child,N,ENR-1004-2,System_Admin,2025-01-01,,
202,1005,DEP-1005-C,Mary,,Brown,101-11-8403,2011-01-01,M,Child,N,ENR-1005-1,System_Admin,2025-01-01,,
202,1005,DEP-1005-C,Michelle,,Brown,469-33-3280,2009-01-01,M,Child,N,ENR-1005-2,System_Admin,2025-01-01,,
202,1006,DEP-1006-C,Ryan,,Johnson,160-11-4037,2015-01-01,M,Child,N,ENR-1006-1,System_Admin,2025-01-01,,
202,1006,DEP-1006-S,Ryan,,Johnson,807-41-9506,1980-05-20,F,Spouse,N,ENR-1006-2,System_Admin,2025-01-01,,
202,1007,DEP-1007-C,Gary,,Jones,926-26-9383,2006-01-01,M,Child,N,ENR-1007-1,System_Admin,2025-01-01,,
202,1008,DEP-1008-C,Gary,,Johnson,788-26-9276,2017-01-01,M,Child,N,ENR-1008-1,System_Admin,2025-01-01,,
202,1010,DEP-1010-S,Mary,,Smith,262-67-2238,1980-05-20,F,Spouse,N,ENR-1010-1,System_Admin,2025-01-01,,
202,1010,DEP-1010-C,Ryan,,Smith,484-86-8065,2006-01-01,M,Child,N,ENR-1010-1,System_Admin,2025-01-01,,
202,1011,DEP-1011-S,Mary,,Jones,764-92-3682,1980-05-20,F,Spouse,N,ENR-1011-2,System_Admin,2025-01-01,,
202,1013,DEP-1013-S,Sandra,,Martin,988-43-9492,1980-05-20,F,Spouse,N,ENR-1013-1,System_Admin,2025-01-01,,
202,1014,DEP-1014-S,Ryan,,Wilson,551-51-5870,1980-05-20,F,Spouse,N,ENR-1014-1,System_Admin,2025-01-01,,
202,1015,DEP-1015-S,Stephen,,Taylor,358-66-2332,1980-05-20,F,Spouse,N,ENR-1015-1,System_Admin,2025-01-01,,
202,1015,DEP-1015-S,Nicholas,,Taylor,949-61-9634,1980-05-20,F,Spouse,N,ENR-1015-2,System_Admin,2025-01-01,,
202,1015,DEP-1015-C,Lisa,,Taylor,856-32-3334,2021-01-01,M,Child,N,ENR-1015-2,System_Admin,2025-01-01,,
202,1016,DEP-1016-S,Ryan,,Williams,768-85-3987,1980-05-20,F,Spouse,N,ENR-1016-1,System_Admin,2025-01-01,,
202,1016,DEP-1016-C,Nicholas,,Williams,246-64-6593,2008-01-01,M,Child,N,ENR-1016-2,System_Admin,2025-01-01,,
202,1017,DEP-1017-S,Nicholas,,Johnson,375-81-3240,1980-05-20,F,Spouse,N,ENR-1017-1,System_Admin,2025-01-01,,
202,1017,DEP-1017-S,Gary,,Johnson,212-12-3204,1980-05-20,F,Spouse,N,ENR-1017-2,System_Admin,2025-01-01,,
202,1019,DEP-1019-S,Lisa,,Johnson,407-66-8789,1980-05-20,F,Spouse,N,ENR-1019-2,System_Admin,2025-01-01,,
202,1019,DEP-1019-C,Jennifer,,Johnson,418-61-4012,2005-01-01,M,Child,N,ENR-1019-2,System_Admin,2025-01-01,,
202,1020,DEP-1020-S,Ryan,,Johnson,240-19-4951,1980-05-20,F,Spouse,N,ENR-1020-1,System_Admin,2025-01-01,,
202,1020,DEP-1020-C,Sandra,,Johnson,976-11-7586,2021-01-01,M,Child,N,ENR-1020-1,System_Admin,2025-01-01,,
202,1020,DEP-1020-S,Ryan,,Johnson,962-39-6666,1980-05-20,F,Spouse,N,ENR-1020-2,System_Admin,2025-01-01,,
